詞頻序號,詞目,,出現頻次,累積頻次,累積百分比
174,感覺,ㄍㄢˇ　ㄐㄩㄝˊ,317,96927,18.272525
175,對於,ㄉㄨㄟˋ　ㄩˊ,317,97244,18.332285
176,改變,ㄍㄞˇ　ㄅㄧㄢˋ,316,97560,18.391857
177,香港,,315,97875,18.45124
178,所有,ㄙㄨㄛˇ　ㄧㄡˇ,314,98189,18.510435
179,當然,ㄉㄤ　ㄖㄢˊ,314,98503,18.56963
180,利用,ㄌㄧˋ　ㄩㄥˋ,313,98816,18.628636
181,個人,ㄍㄜˋ　ㄖㄣˊ,313,99129,18.687642
182,之後,ㄓ　ㄏㄡˋ,309,99438,18.745894
183,然後,ㄖㄢˊ　ㄏㄡˋ,309,99747,18.804146
184,真正,ㄓㄣ　ㄓㄥˋ,306,100053,18.861833
185,推出,ㄊㄨㄟ　ㄔㄨ,306,100359,18.91952
186,過程,ㄍㄨㄛˋ　ㄔㄥˊ,306,100665,18.977207
187,環保,ㄏㄨㄢˊ　ㄅㄠˇ,304,100969,19.034517
188,不斷,ㄅㄨˋ　ㄉㄨㄢˋ　（變）ㄅㄨˊ　ㄉㄨㄢˋ,303,101272,19.091638
189,服務,ㄈㄨˊ　ㄨˋ,303,101575,19.148759
190,接受,ㄐㄧㄝ　ㄕㄡˋ,302,101877,19.205692
191,這種,,301,102178,19.262436
192,可是,ㄎㄜˇ　ㄕˋ,300,102478,19.318992
193,中共,ㄓㄨㄥ　ㄍㄨㄥˋ,299,102777,19.375359
194,進入,ㄐㄧㄣˋ　ㄖㄨˋ,299,103076,19.431726
195,告訴,ㄍㄠˋ　ㄙㄨˋ,298,103374,19.487905
196,一直,ㄧ　ㄓˊ　（變）ㄧˋ　ㄓˊ,297,103671,19.543895
197,其實,ㄑㄧˊ　ㄕˊ,296,103967,19.599696
198,動物,ㄉㄨㄥˋ　ㄨˋ,295,104262,19.655309
199,經營,ㄐㄧㄥ　ㄧㄥˊ,293,104555,19.710545
200,人民,ㄖㄣˊ　ㄇㄧㄣˊ,292,104847,19.765592
201,另外,ㄌㄧㄥˋ　ㄨㄞˋ,291,105138,19.820451
202,一些,ㄧ　ㄒㄧㄝ　（變）ㄧˋ　ㄒㄧㄝ,289,105427,19.874933
203,包括,ㄅㄠ　ㄍㄨㄚ,288,105715,19.929226
204,去年,ㄑㄩˋ　ㄋㄧㄢˊ,287,106002,19.983331
205,於是,ㄩˊ　ㄕˋ,287,106289,20.037436
206,注意,ㄓㄨˋ　ㄧˋ,287,106576,20.091541
207,組織,ㄗㄨˇ　ㄓ,287,106863,20.145646
208,開放,ㄎㄞ　ㄈㄤˋ,287,107150,20.199751
209,父親,ㄈㄨˋ　ㄑㄧㄣ,285,107435,20.253479
210,年代,ㄋㄧㄢˊ　ㄉㄞˋ,285,107720,20.307207
211,生產,ㄕㄥ　ㄔㄢˇ,283,108003,20.360558
212,形成,ㄒㄧㄥˊ　ㄔㄥˊ,282,108285,20.41372
213,政策,ㄓㄥˋ　ㄘㄜˋ,282,108567,20.466882
214,新加坡,,282,108849,20.520044
215,十分,ㄕˊ　ㄈㄣ,279,109128,20.572641
216,只要,ㄓˇ　ㄧㄠˋ,279,109407,20.625238
217,計畫,ㄐㄧˋ　ㄏㄨㄚˋ,278,109685,20.677646
218,現象,ㄒㄧㄢˋ　ㄒㄧㄤˋ,277,109962,20.729866
219,歐洲,ㄡ　ㄓㄡ,277,110239,20.782086
220,那麼,ㄋㄚˋ　˙ㄇㄜ,276,110515,20.834117
221,原因,ㄩㄢˊ　ㄧㄣ,276,110791,20.886148
222,人類,ㄖㄣˊ　ㄌㄟˋ,274,111065,20.937802
223,音樂,ㄧㄣ　ㄩㄝˋ,273,111338,20.989268
224,精神,ㄐㄧㄥ　ㄕㄣˊ,273,111611,21.040734
225,一起,ㄧ　ㄑㄧˇ　（變）ㄧˋ　ㄑㄧˇ,272,111883,21.092011
226,成立,ㄔㄥˊ　ㄌㄧˋ,272,112155,21.143288
227,教學,ㄐㄧㄠˋ　ㄒㄩㄝˊ,272,112427,21.194565
228,要求,ㄧㄠ　ㄑㄧㄡˊ,271,112698,21.245654
229,任何,ㄖㄣˋ　ㄏㄜˊ,267,112965,21.295988
230,指出,ㄓˇ　ㄔㄨ,267,113232,21.346322
231,嚴重,ㄧㄢˊ　ㄓㄨㄥˋ,267,113499,21.396656
232,繼續,ㄐㄧˋ　ㄒㄩˋ,267,113766,21.44699
233,處理,ㄔㄨˇ　ㄌㄧˇ,266,114032,21.497136
234,父母,ㄈㄨˋ　ㄇㄨˇ,265,114297,21.547093
235,例如,ㄌㄧˋ　ㄖㄨˊ,265,114562,21.59705
236,學習,ㄒㄩㄝˊ　ㄒㄧˊ,265,114827,21.647007
237,品質,ㄆㄧㄣˇ　ㄓˊ,263,115090,21.696587
238,國民黨,,262,115352,21.745979
239,選舉,ㄒㄩㄢˇ　ㄐㄩˇ,261,115613,21.795182
240,以後,ㄧˇ　ㄏㄡˋ,260,115873,21.844197
241,民眾,ㄇㄧㄣˊ　ㄓㄨㄥˋ,260,116133,21.893212
242,現代,ㄒㄧㄢˋ　ㄉㄞˋ,260,116393,21.942227
243,觀念,ㄍㄨㄢ　ㄋㄧㄢˋ,260,116653,21.991242
244,女性,ㄋㄩˇ　ㄒㄧㄥˋ,259,116912,22.040068
245,人生,ㄖㄣˊ　ㄕㄥ,258,117170,22.088706
246,代表,ㄉㄞˋ　ㄅㄧㄠˇ,258,117428,22.137344
247,科學,ㄎㄜ　ㄒㄩㄝˊ,255,117683,22.185416
248,擁有,ㄩㄥˇ　ㄧㄡˇ,255,117938,22.233488
249,功能,ㄍㄨㄥ　ㄋㄥˊ,254,118192,22.281372
250,了解,ㄌㄧㄠˇ　ㄐㄧㄝˇ,253,118445,22.329067
251,似乎,ㄙˋ　ㄏㄨ,252,118697,22.376574
252,治療,ㄓˋ　ㄌㄧㄠˊ,252,118949,22.424081
253,相信,ㄒㄧㄤ　ㄒㄧㄣˋ,252,119201,22.471588
254,幾乎,ㄐㄧ　ㄏㄨ,252,119453,22.519095
255,制度,ㄓˋ　ㄉㄨˋ,251,119704,22.566413
256,標準,ㄅㄧㄠ　ㄓㄨㄣˇ,251,119955,22.613731
257,解決,ㄐㄧㄝˇ　ㄐㄩㄝˊ,250,120205,22.660861
258,引起,ㄧㄣˇ　ㄑㄧˇ,249,120454,22.707802
259,完成,ㄨㄢˊ　ㄔㄥˊ,249,120703,22.754743
260,認識,ㄖㄣˋ　ㄕˋ,249,120952,22.801684
261,即使,ㄐㄧˊ　ㄕˇ,248,121200,22.848437
262,交通,ㄐㄧㄠ　ㄊㄨㄥ,247,121447,22.895001
263,高市,,247,121694,22.941565
264,逐漸,ㄓㄨˊ　ㄐㄧㄢˋ,247,121941,22.988129
265,電視,ㄉㄧㄢˋ　ㄕˋ,247,122188,23.034693
266,壓力,ㄧㄚ　ㄌㄧˋ,246,122434,23.081069
267,病人,ㄅㄧㄥˋ　ㄖㄣˊ,245,122679,23.127256
268,目標,ㄇㄨˋ　ㄅㄧㄠ,244,122923,23.173255
269,努力,ㄋㄨˇ　ㄌㄧˋ,244,123167,23.219254
270,競爭,ㄐㄧㄥˋ　ㄓㄥ,243,123410,23.265064
271,建立,ㄐㄧㄢˋ　ㄌㄧˋ,242,123652,23.310685
272,根據,ㄍㄣ　ㄐㄩˋ,242,123894,23.356306
273,都是,,241,124135,23.401739
274,臺北市,ㄊㄞˊ　ㄅㄟˇ　ㄕˋ,241,124376,23.447172
275,影片,ㄧㄥˇ　ㄆㄧㄢˋ,240,124616,23.492416
276,終於,ㄓㄨㄥ　ㄩˊ,239,124855,23.537472
277,歡迎,ㄏㄨㄢ　ㄧㄥˊ,238,125093,23.582339
278,母親,ㄇㄨˇ　ㄑㄧㄣ,237,125330,23.627018
279,保護,ㄅㄠˇ　ㄏㄨˋ,236,125566,23.671508
280,獲得,ㄏㄨㄛˋ　ㄉㄜˊ,236,125802,23.715998
281,醫生,ㄧ　ㄕㄥ,236,126038,23.760488
282,人們,ㄖㄣˊ　˙ㄇㄣ,235,126273,23.80479
283,準備,ㄓㄨㄣˇ　ㄅㄟˋ,235,126508,23.849092
284,大學,ㄉㄚˋ　ㄒㄩㄝˊ,233,126741,23.893017
285,一切,ㄧ　ㄑㄧㄝˋ,232,126973,23.936753
286,女人,ㄋㄩˇ　ㄖㄣˊ,232,127205,23.980489
287,自由,ㄗˋ　ㄧㄡˊ,232,127437,24.024225
288,尤其,ㄧㄡˊ　ㄑㄧˊ,231,127668,24.067773
289,英國,ㄧㄥ　ㄍㄨㄛˊ,231,127899,24.111321
290,幫助,ㄅㄤ　ㄓㄨˋ,231,128130,24.154869
291,也許,ㄧㄝˇ　ㄒㄩˇ,230,128360,24.198228
292,後來,ㄏㄡˋ　ㄌㄞˊ,230,128590,24.241587
293,合作,ㄏㄜˊ　ㄗㄨㄛˋ,228,128818,24.284569
294,還有,ㄏㄞˊ　ㄧㄡˇ,228,129046,24.327551
295,身體,ㄕㄣ　ㄊㄧˇ,227,129273,24.370345
296,美元,ㄇㄟˇ　ㄩㄢˊ,227,129500,24.413139
297,面對,ㄇㄧㄢˋ　ㄉㄨㄟˋ,227,129727,24.455933
298,提出,,227,129954,24.498727
299,提高,ㄊㄧˊ　ㄍㄠ,227,130181,24.541521
300,業者,ㄧㄝˋ　ㄓㄜˇ,226,130407,24.584126
301,價值,ㄐㄧㄚˋ　ㄓˊ,223,130630,24.626166
302,專業,ㄓㄨㄢ　ㄧㄝˋ,222,130852,24.668017
303,不僅,ㄅㄨˋ　ㄐㄧㄣˇ,221,131073,24.70968
304,車型,,221,131294,24.751343
305,看到,,221,131515,24.793006
306,上市,ㄕㄤˋ　ㄕˋ,220,131735,24.83448
307,反應,ㄈㄢˇ　ㄧㄥˋ,220,131955,24.875954
308,支持,ㄓ　ㄔˊ,220,132175,24.917428
309,科技,ㄎㄜ　ㄐㄧˋ,220,132395,24.958902
310,變化,ㄅㄧㄢˋ　ㄏㄨㄚˋ,219,132614,25.000188
311,銀行,ㄧㄣˊ　ㄏㄤˊ,218,132832,25.041285
312,才能,ㄘㄞˊ　ㄋㄥˊ,217,133049,25.082194
313,北縣,,217,133266,25.123103
314,單位,ㄉㄢ　ㄨㄟˋ,217,133483,25.164012
315,調查,ㄉㄧㄠˋ　ㄔㄚˊ,217,133700,25.204921
316,變成,ㄅㄧㄢˋ　ㄔㄥˊ,217,133917,25.24583
317,心理,ㄒㄧㄣ　ㄌㄧˇ,216,134133,25.28655
318,分析,ㄈㄣ　ㄒㄧ,214,134347,25.326893
319,此外,ㄘˇ　ㄨㄞˋ,214,134561,25.367236
320,長期,ㄔㄤˊ　ㄑㄧˊ,214,134775,25.407579
321,減少,ㄐㄧㄢˇ　ㄕㄠˇ,214,134989,25.447922
322,還是,ㄏㄞˊ　ㄕˋ,214,135203,25.488265
323,民主,ㄇㄧㄣˊ　ㄓㄨˇ,212,135415,25.528231
324,別人,ㄅㄧㄝˊ　ㄖㄣˊ,212,135627,25.568197
325,也是,ㄧㄝˇ　ㄕˋ,211,135838,25.607974
326,值得,ㄓˊ　˙ㄉㄜ,211,136049,25.647751
327,電話,ㄉㄧㄢˋ　ㄏㄨㄚˋ,211,136260,25.687528
328,力量,ㄌㄧˋ　ㄌㄧㄤˋ,210,136470,25.727117
329,充滿,ㄔㄨㄥ　ㄇㄢˇ,210,136680,25.766706
330,觀眾,ㄍㄨㄢ　ㄓㄨㄥˋ,210,136890,25.806295
331,展開,ㄓㄢˇ　ㄎㄞ,209,137099,25.845695
332,資金,ㄗ　ㄐㄧㄣ,209,137308,25.885095
333,爸爸,ㄅㄚˋ　˙ㄅㄚ,208,137516,25.924307
334,人物,ㄖㄣˊ　ㄨˋ,207,137723,25.96333
335,策略,ㄘㄜˋ　ㄌㄩㄝˋ,207,137930,26.002353
336,廠商,ㄔㄤˇ　ㄕㄤ,207,138137,26.041376
337,民間,ㄇㄧㄣˊ　ㄐㄧㄢ,206,138343,26.080211
338,事業,ㄕˋ　ㄧㄝˋ,206,138549,26.119046
339,超過,ㄔㄠ　ㄍㄨㄛˋ,206,138755,26.157881
340,聲音,ㄕㄥ　ㄧㄣ,206,138961,26.196716
341,同樣,ㄊㄨㄥˊ　ㄧㄤˋ,205,139166,26.235362
342,青少年,ㄑㄧㄥ　ㄕㄠˋ　ㄋㄧㄢˊ,205,139371,26.274008
343,信託,ㄒㄧㄣˋ　ㄊㄨㄛ,205,139576,26.312654
344,配備,ㄆㄟˋ　ㄅㄟˋ,205,139781,26.3513
345,實際,ㄕˊ　ㄐㄧˋ,204,139985,26.389758
346,全國,ㄑㄩㄢˊ　ㄍㄨㄛˊ,202,140187,26.427839
347,並且,ㄅㄧㄥˋ　ㄑㄧㄝˇ,202,140389,26.46592
348,法國,,202,140591,26.504001
349,方向,ㄈㄤ　ㄒㄧㄤˋ,201,140792,26.541893
350,以前,ㄧˇ　ㄑㄧㄢˊ,201,140993,26.579785
351,因素,ㄧㄣ　ㄙㄨˋ,201,141194,26.617677
352,宇宙,ㄩˇ　ㄓㄡˋ,201,141395,26.655569
353,專家,ㄓㄨㄢ　ㄐㄧㄚ,201,141596,26.693461
354,創作,ㄔㄨㄤˋ　ㄗㄨㄛˋ,201,141797,26.731353
355,存在,ㄘㄨㄣˊ　ㄗㄞˋ,200,141997,26.769057
356,作用,ㄗㄨㄛˋ　ㄩㄥˋ,200,142197,26.806761
357,建設,ㄐㄧㄢˋ　ㄕㄜˋ,200,142397,26.844465
358,痛苦,ㄊㄨㄥˋ　ㄎㄨˇ,200,142597,26.882169
359,加強,ㄐㄧㄚ　ㄑㄧㄤˊ,199,142796,26.919684
360,食物,ㄕˊ　ㄨˋ,199,142995,26.957199
361,觀察,ㄍㄨㄢ　ㄔㄚˊ,199,143194,26.994714
362,全球,ㄑㄩㄢˊ　ㄑㄧㄡˊ,197,143391,27.031852
363,至於,ㄓˋ　ㄩˊ,197,143588,27.06899
364,城市,ㄔㄥˊ　ㄕˋ,197,143785,27.106128
365,演出,ㄧㄢˇ　ㄔㄨ,197,143982,27.143266
366,改革,ㄍㄞˇ　ㄍㄜˊ,196,144178,27.180216
367,附近,ㄈㄨˋ　ㄐㄧㄣˋ,196,144374,27.217166
368,原來,ㄩㄢˊ　ㄌㄞˊ,196,144570,27.254116
369,產業,ㄔㄢˇ　ㄧㄝˋ,196,144766,27.291066
370,距離,ㄐㄩˋ　ㄌㄧˊ,196,144962,27.328016
371,顯示,ㄒㄧㄢˇ　ㄕˋ,196,145158,27.364966
372,起來,ㄑㄧˇ　ㄌㄞˊ,195,145353,27.401727
373,意義,ㄧˋ　ㄧˋ,195,145548,27.438488
374,民進黨,,194,145742,27.475061
375,直接,ㄓˊ　ㄐㄧㄝ,194,145936,27.511634
376,重視,ㄓㄨㄥˋ　ㄕˋ,193,146129,27.548018
377,資料,ㄗ　ㄌㄧㄠˋ,193,146322,27.584402
